County,County Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,MCD - Drug/Alcohol Induced Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate
"Montgomery County, AL",1101,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,34,224980,15.1
"Morgan County, AL",1103,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,34,125133,27.2
"Morgan County, AL",1103,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,23,125133,18.4
"Morgan County, AL",1103,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,34,125133,27.2
"Russell County, AL",1113,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,58744,34
"Russell County, AL",1113,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,14,58744,Unreliable
"Russell County, AL",1113,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,20,58744,34
"St. Clair County, AL",1115,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,38,95552,39.8
"St. Clair County, AL",1115,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,38,95552,39.8
"Shelby County, AL",1117,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,48,233000,20.6
"Shelby County, AL",1117,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,25,233000,10.7
"Shelby County, AL",1117,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,48,233000,20.6
"Talladega County, AL",1121,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,81132,24.7
"Talladega County, AL",1121,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,20,81132,24.7
"Tuscaloosa County, AL",1125,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,44,237373,18.5
"Tuscaloosa County, AL",1125,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,44,237373,18.5
"Walker County, AL",1127,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,60,64728,92.7
"Walker County, AL",1127,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,60,64728,92.7
"Winston County, AL",1133,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,23611,Unreliable
"Winston County, AL",1133,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,14,23611,Unreliable
"Anchorage Borough, AK",2020,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,194,286075,67.8
"Anchorage Borough, AK",2020,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,28,286075,9.8
"Anchorage Borough, AK",2020,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,45,286075,15.7
"Anchorage Borough, AK",2020,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,40,286075,14
"Anchorage Borough, AK",2020,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,194,286075,67.8
"Fairbanks North Star Borough, AK",2090,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,94840,Unreliable
"Fairbanks North Star Borough, AK",2090,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,19,94840,Unreliable
"Juneau Borough, AK",2110,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,31555,Unreliable
"Juneau Borough, AK",2110,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,13,31555,Unreliable
"Kenai Peninsula Borough, AK",2122,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,61223,Unreliable
"Kenai Peninsula Borough, AK",2122,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,17,61223,Unreliable
"Matanuska-Susitna Borough, AK",2170,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,39,115239,33.8
"Matanuska-Susitna Borough, AK",2170,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,11,115239,Unreliable
"Matanuska-Susitna Borough, AK",2170,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,39,115239,33.8
"Apache County, AZ",4001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,35,65036,53.8
"Apache County, AZ",4001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,13,65036,Unreliable
"Apache County, AZ",4001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,14,65036,Unreliable
"Apache County, AZ",4001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,14,65036,Unreliable
"Apache County, AZ",4001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,35,65036,53.8
"Cochise County, AZ",4003,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,124640,28.9
"Cochise County, AZ",4003,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,36,124640,28.9
"Coconino County, AZ",4005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,144472,20.8
"Coconino County, AZ",4005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,14,144472,Unreliable
"Coconino County, AZ",4005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,13,144472,Unreliable
"Coconino County, AZ",4005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,30,144472,20.8
"Gila County, AZ",4007,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,54003,38.9
"Gila County, AZ",4007,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,10,54003,Unreliable
"Gila County, AZ",4007,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,21,54003,38.9
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,1489,4585871,32.5
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,982,4585871,21.4
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,209,4585871,4.6
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,148,4585871,3.2
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1489,4585871,32.5
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,82,4585871,1.8
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,All other drug-induced causes,D9,14,4585871,Unreliable
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,18,4585871,Unreliable
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,82,4585871,1.8
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,50,4585871,1.1
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Drug-induced causes,D,All other drug-induced causes,D9,19,4585871,Unreliable
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,50,4585871,1.1
"Maricopa County, AZ",4013,Drug-induced causes,D,All other drug-induced causes,D9,Drug-induced causes,D,All other drug-induced causes,D9,70,4585871,1.5
"Maricopa County, AZ",4013,Drug-induced causes,D,All other drug-induced causes,D9,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,65,4585871,1.4
"Mohave County, AZ",4015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,67,223682,30
"Mohave County, AZ",4015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,19,223682,Unreliable
"Mohave County, AZ",4015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,67,223682,30
"Mohave County, AZ",4015,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,11,223682,Unreliable
"Mohave County, AZ",4015,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,11,223682,Unreliable
"Navajo County, AZ",4017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,54,109175,49.5
"Navajo County, AZ",4017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,23,109175,21.1
"Navajo County, AZ",4017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,23,109175,21.1
"Navajo County, AZ",4017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,10,109175,Unreliable
"Navajo County, AZ",4017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,54,109175,49.5
"Pima County, AZ",4019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,446,1063162,42
"Pima County, AZ",4019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,177,1063162,16.6
"Pima County, AZ",4019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,57,1063162,5.4
"Pima County, AZ",4019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,29,1063162,2.7
"Pima County, AZ",4019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,446,1063162,42
"Pima County, AZ",4019,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,21,1063162,2
"Pima County, AZ",4019,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,21,1063162,2
