State,State Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,MCD - Drug/Alcohol Induced Cause,MCD - Drug/Alcohol Induced Cause Code,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Deaths,Population,Crude Rate
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,55-59 years,55-59,2020,2020,83,332661,25
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,55-59 years,55-59,2021,2021,102,336754,30.3
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,55-59 years,55-59,2022,2022,104,325873,31.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,55-59 years,55-59,2023,2023,115,319677,36
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,60-64 years ,60-64,2018,2018,42,318368,13.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,60-64 years ,60-64,2019,2019,51,321347,15.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,60-64 years ,60-64,2020,2020,60,324620,18.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,60-64 years ,60-64,2021,2021,71,335619,21.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,60-64 years ,60-64,2022,2022,86,332557,25.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,60-64 years ,60-64,2023,2023,80,334389,23.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,65-69 years,65-69,2018,2018,20,270799,7.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,65-69 years,65-69,2019,2019,13,275448,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,65-69 years,65-69,2020,2020,20,281928,7.1
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,65-69 years,65-69,2021,2021,29,294377,9.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,65-69 years,65-69,2022,2022,32,297711,10.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,65-69 years,65-69,2023,2023,49,304490,16.1
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,70-74 years,70-74,2019,2019,10,225999,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,70-74 years,70-74,2022,2022,15,243171,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,70-74 years,70-74,2023,2023,20,246433,8.1
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,20-24 years,20-24,2018,2018,13,325220,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,20-24 years,20-24,2019,2019,18,322092,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,20-24 years,20-24,2020,2020,24,323264,7.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,20-24 years,20-24,2021,2021,25,329131,7.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,20-24 years,20-24,2022,2022,18,355450,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,20-24 years,20-24,2023,2023,27,340723,7.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,25-29 years,25-29,2018,2018,28,340014,8.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,25-29 years,25-29,2019,2019,27,338138,8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,25-29 years,25-29,2020,2020,42,331899,12.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,25-29 years,25-29,2021,2021,45,324499,13.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,25-29 years,25-29,2022,2022,57,321108,17.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,25-29 years,25-29,2023,2023,59,319740,18.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,30-34 years,30-34,2018,2018,28,303526,9.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,30-34 years,30-34,2019,2019,54,309091,17.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,30-34 years,30-34,2020,2020,59,318647,18.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,30-34 years,30-34,2021,2021,65,331924,19.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,30-34 years,30-34,2022,2022,80,336797,23.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,30-34 years,30-34,2023,2023,83,341055,24.3
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,35-39 years,35-39,2018,2018,41,303994,13.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,35-39 years,35-39,2019,2019,40,304145,13.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,35-39 years,35-39,2020,2020,60,302872,19.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,35-39 years,35-39,2021,2021,70,312505,22.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,35-39 years,35-39,2022,2022,73,311105,23.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,35-39 years,35-39,2023,2023,96,315596,30.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,40-44 years,40-44,2018,2018,33,288308,11.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,40-44 years,40-44,2019,2019,30,289161,10.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,40-44 years,40-44,2020,2020,58,293490,19.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,40-44 years,40-44,2021,2021,77,308820,24.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,40-44 years,40-44,2022,2022,89,310743,28.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,40-44 years,40-44,2023,2023,104,315601,33
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,45-49 years,45-49,2018,2018,27,312966,8.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,45-49 years,45-49,2019,2019,32,308951,10.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,45-49 years,45-49,2020,2020,46,302481,15.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,45-49 years,45-49,2021,2021,56,301395,18.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,45-49 years,45-49,2022,2022,55,296419,18.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,45-49 years,45-49,2023,2023,86,297326,28.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,50-54 years,50-54,2018,2018,20,314492,6.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,50-54 years,50-54,2019,2019,29,307665,9.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,50-54 years,50-54,2020,2020,38,305693,12.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,50-54 years,50-54,2021,2021,46,320799,14.3
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,50-54 years,50-54,2022,2022,61,321378,19
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,50-54 years,50-54,2023,2023,63,321637,19.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,55-59 years,55-59,2018,2018,17,336811,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,55-59 years,55-59,2019,2019,22,336320,6.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,55-59 years,55-59,2020,2020,32,332661,9.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,55-59 years,55-59,2021,2021,39,336754,11.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,55-59 years,55-59,2022,2022,37,325873,11.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,55-59 years,55-59,2023,2023,53,319677,16.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,60-64 years ,60-64,2018,2018,16,318368,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,60-64 years ,60-64,2019,2019,21,321347,6.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,60-64 years ,60-64,2020,2020,21,324620,6.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,60-64 years ,60-64,2021,2021,27,335619,8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,60-64 years ,60-64,2022,2022,36,332557,10.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,60-64 years ,60-64,2023,2023,33,334389,9.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,65-69 years,65-69,2021,2021,11,294377,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,65-69 years,65-69,2022,2022,13,297711,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other drug-induced causes,D9,65-69 years,65-69,2023,2023,15,304490,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,30-34 years,30-34,2020,2020,12,318647,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,30-34 years,30-34,2022,2022,10,336797,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,30-34 years,30-34,2023,2023,14,341055,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,35-39 years,35-39,2020,2020,18,302872,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,35-39 years,35-39,2021,2021,17,312505,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,35-39 years,35-39,2022,2022,15,311105,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,35-39 years,35-39,2023,2023,19,315596,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,40-44 years,40-44,2018,2018,12,288308,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,40-44 years,40-44,2020,2020,11,293490,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,40-44 years,40-44,2021,2021,14,308820,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,40-44 years,40-44,2022,2022,18,310743,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,40-44 years,40-44,2023,2023,16,315601,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,45-49 years,45-49,2021,2021,11,301395,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,45-49 years,45-49,2022,2022,14,296419,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,45-49 years,45-49,2023,2023,16,297326,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,50-54 years,50-54,2021,2021,11,320799,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,50-54 years,50-54,2022,2022,16,321378,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,50-54 years,50-54,2023,2023,14,321637,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,55-59 years,55-59,2020,2020,11,332661,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,60-64 years ,60-64,2021,2021,11,335619,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other alcohol-induced causes,A9,30-34 years,30-34,2023,2023,10,341055,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other alcohol-induced causes,A9,35-39 years,35-39,2021,2021,12,312505,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other alcohol-induced causes,A9,40-44 years,40-44,2021,2021,10,308820,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,15-19 years,15-19,2019,2019,10,313615,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,15-19 years,15-19,2020,2020,11,310127,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,15-19 years,15-19,2021,2021,17,323584,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,15-19 years,15-19,2022,2022,13,334114,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,15-19 years,15-19,2023,2023,18,344879,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,20-24 years,20-24,2018,2018,35,325220,10.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,20-24 years,20-24,2019,2019,40,322092,12.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,20-24 years,20-24,2020,2020,60,323264,18.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,20-24 years,20-24,2021,2021,72,329131,21.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,20-24 years,20-24,2022,2022,66,355450,18.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,20-24 years,20-24,2023,2023,57,340723,16.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,25-29 years,25-29,2018,2018,77,340014,22.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,25-29 years,25-29,2019,2019,66,338138,19.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,25-29 years,25-29,2020,2020,89,331899,26.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,25-29 years,25-29,2021,2021,141,324499,43.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,25-29 years,25-29,2022,2022,137,321108,42.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,25-29 years,25-29,2023,2023,139,319740,43.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,30-34 years,30-34,2018,2018,85,303526,28
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,30-34 years,30-34,2019,2019,117,309091,37.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,30-34 years,30-34,2020,2020,130,318647,40.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O9,30-34 years,30-34,2021,2021,179,331924,53.9
